Id,Property building category,Property building type,Title,Built up price psf,Size built up,Valuation price,YEAR,QUARTER,NAME,Year completion,Property building category,Property building type
757294,HIGHRISE,CONDO,RESIDENTIAL,1180,1313,1550000,2018,20183,HARBOURVIEW,1994,HIGHRISE,CONDO
758386,HIGHRISE,CONDO,RESIDENTIAL,1454,743,1080000,2018,20183,HARBOURVIEW,1994,HIGHRISE,CONDO
758553,HIGHRISE,CONDO,RESIDENTIAL,1413,743,1050000,2018,20183,HARBOURVIEW,1994,HIGHRISE,CONDO
442236,HIGHRISE,CONDO,RESIDENTIAL,290,2153,625000,2014,20144,LILY POINT,2009,HIGHRISE,CONDO
442300,HIGHRISE,CONDO,RESIDENTIAL,492,1098,540000,2015,20154,LILY POINT,2009,HIGHRISE,CONDO
448118,HIGHRISE,CONDO,RESIDENTIAL,519,1098,570000,2014,20143,LILY POINT,2009,HIGHRISE,CONDO
448136,HIGHRISE,CONDO,RESIDENTIAL,560,1098,615000,2015,20151,LILY POINT,2009,HIGHRISE,CONDO
462941,HIGHRISE,CONDO,RESIDENTIAL,519,1098,570000,2015,20152,LILY POINT,2009,HIGHRISE,CONDO
462988,HIGHRISE,CONDO,RESIDENTIAL,575,2088,1200000,2015,20153,LILY POINT,2009,HIGHRISE,CONDO
467257,HIGHRISE,CONDO,RESIDENTIAL,515,1098,565000,2015,20151,LILY POINT,2009,HIGHRISE,CONDO
468599,HIGHRISE,CONDO,RESIDENTIAL,519,1098,570000,2015,20151,LILY POINT,2009,HIGHRISE,CONDO
468617,HIGHRISE,CONDO,RESIDENTIAL,556,1098,610000,2015,20152,LILY POINT,2009,HIGHRISE,CONDO
468706,HIGHRISE,CONDO,RESIDENTIAL,537,1098,590000,2015,20151,LILY POINT,2009,HIGHRISE,CONDO
468729,HIGHRISE,CONDO,RESIDENTIAL,560,1098,615000,2015,20151,LILY POINT,2009,HIGHRISE,CONDO
468777,HIGHRISE,CONDO,RESIDENTIAL,560,1098,615000,2015,20152,LILY POINT,2009,HIGHRISE,CONDO
468846,HIGHRISE,CONDO,RESIDENTIAL,455,1098,500000,2015,20151,LILY POINT,2009,HIGHRISE,CONDO
468881,HIGHRISE,CONDO,RESIDENTIAL,217,1098,238555,2007,20071,LILY POINT,2009,HIGHRISE,CONDO
471776,HIGHRISE,CONDO,RESIDENTIAL,537,1098,590000,2016,20164,LILY POINT,2009,HIGHRISE,CONDO
471929,HIGHRISE,CONDO,RESIDENTIAL,455,1098,500000,2016,20163,LILY POINT,2009,HIGHRISE,CONDO
471949,HIGHRISE,CONDO,RESIDENTIAL,524,1098,575000,2016,20164,LILY POINT,2009,HIGHRISE,CONDO
471959,HIGHRISE,CONDO,RESIDENTIAL,574,1098,630000,2016,20164,LILY POINT,2009,HIGHRISE,CONDO
472906,HIGHRISE,CONDO,RESIDENTIAL,433,1098,475000,2015,20152,LILY POINT,2009,HIGHRISE,CONDO
474104,HIGHRISE,CONDO,RESIDENTIAL,546,1098,600000,2016,20163,LILY POINT,2009,HIGHRISE,CONDO
474165,HIGHRISE,CONDO,RESIDENTIAL,510,1098,560000,2016,20162,LILY POINT,2009,HIGHRISE,CONDO
481513,HIGHRISE,CONDO,RESIDENTIAL,710,1098,780000,2016,20164,LILY POINT,2009,HIGHRISE,CONDO
481522,HIGHRISE,CONDO,RESIDENTIAL,710,1098,780000,2016,20164,LILY POINT,2009,HIGHRISE,CONDO
481609,HIGHRISE,CONDO,RESIDENTIAL,510,1098,560000,2016,20164,LILY POINT,2009,HIGHRISE,CONDO
